省市縣市代碼,鄉鎮市區代碼,村里,鄰,街、路段,地區,巷,弄,號,橫座標,縱座標,完整地址
10015,1001502,北林里,2,大忠路,,,,１９５號,299773.85,2628931.04,花蓮縣鳳林鎮北林里大忠路１９５號
10015,1001502,北林里,9,大慶路,,,,１號,297557.46,2629075.148,花蓮縣鳳林鎮北林里大慶路１號
10015,1001502,北林里,9,大慶路,,,,２號,297602.76,2629092.37,花蓮縣鳳林鎮北林里大慶路２號
10015,1001502,北林里,9,大慶路,,,,３號,297533.073,2629092.004,花蓮縣鳳林鎮北林里大慶路３號
10015,1001502,北林里,9,大慶路,,,,４號,297585.79,2629111.779,花蓮縣鳳林鎮北林里大慶路４號
10015,1001502,北林里,9,大慶路,,,,５號,297506.334,2629095.701,花蓮縣鳳林鎮北林里大慶路５號
10015,1001502,北林里,9,大慶路,,,,６號,297508.27,2629117.14,花蓮縣鳳林鎮北林里大慶路６號
10015,1001502,北林里,9,大慶路,,,,６之３號,297557.735,2629106.644,花蓮縣鳳林鎮北林里大慶路６之３號
10015,1001502,北林里,9,大慶路,,,,６號之１,297553.89,2629098.43,花蓮縣鳳林鎮北林里大慶路６號之１
10015,1001502,北林里,9,大慶路,,,,６號之２,297556.1,2629102.203,花蓮縣鳳林鎮北林里大慶路６號之２
10015,1001502,北林里,9,大慶路,,,,６號之５,297561.1,2629115.04,花蓮縣鳳林鎮北林里大慶路６號之５
10015,1001502,北林里,9,大慶路,,,,６號之６,297563.077,2629119.576,花蓮縣鳳林鎮北林里大慶路６號之６
10015,1001502,北林里,9,大慶路,,,,６號之７,297564.835,2629124.15,花蓮縣鳳林鎮北林里大慶路６號之７
10015,1001502,北林里,9,大慶路,,,,６號之８,297566.402,2629128.235,花蓮縣鳳林鎮北林里大慶路６號之８
10015,1001502,北林里,9,大慶路,,,,６號之９,297567.965,2629132.503,花蓮縣鳳林鎮北林里大慶路６號之９
10015,1001502,北林里,9,大慶路,,,,６號之１０,297569.656,2629136.687,花蓮縣鳳林鎮北林里大慶路６號之１０
10015,1001502,北林里,9,大慶路,,,,６號之１１,297570.993,2629140.192,花蓮縣鳳林鎮北林里大慶路６號之１１
10015,1001502,北林里,9,大慶路,,,,６號之１２一樓,297572.3,2629143.95,花蓮縣鳳林鎮北林里大慶路６號之１２一樓
10015,1001502,北林里,9,大慶路,,,,６號之１２二樓,297572.3,2629143.95,花蓮縣鳳林鎮北林里大慶路６號之１２二樓
10015,1001502,北林里,9,大慶路,,,,６號之１３一樓,297574.049,2629147.974,花蓮縣鳳林鎮北林里大慶路６號之１３一樓
10015,1001502,北林里,9,大慶路,,,,６號之１３二樓,297574.049,2629147.974,花蓮縣鳳林鎮北林里大慶路６號之１３二樓
10015,1001502,北林里,9,大慶路,,,,６號之１５一樓,297576.938,2629156.527,花蓮縣鳳林鎮北林里大慶路６號之１５一樓
10015,1001502,北林里,9,大慶路,,,,６號之１５二樓,297576.938,2629156.527,花蓮縣鳳林鎮北林里大慶路６號之１５二樓
10015,1001502,北林里,9,大慶路,,,,６號之１６,297595.481,2629138.719,花蓮縣鳳林鎮北林里大慶路６號之１６
10015,1001502,北林里,9,大慶路,,,,７號,297475.503,2629099.086,花蓮縣鳳林鎮北林里大慶路７號
10015,1001502,北林里,9,大慶路,,,,１０號,297488.725,2629141.504,花蓮縣鳳林鎮北林里大慶路１０號
10015,1001502,北林里,9,大慶路,,,,１０號之１,297496.865,2629153.999,花蓮縣鳳林鎮北林里大慶路１０號之１
10015,1001502,北林里,9,大慶路,,,,１２號,297502.481,2629188.68,花蓮縣鳳林鎮北林里大慶路１２號
